,status_id,user_id,created_at,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favourites_count,retweet_count,country_code,place_full_name,place_type,followers_count,friends_count,account_lang,account_created_at,verified,lang
12955,1250587379972202497,372926831,2020-04-16T00:50:40Z,kumarbiswajit17,"I wish to contribute a little amount to our lovable PM @narendramodi 's PM-CARES. 
🙏🙏🙏
Kindly suggest me the procedure
@sambitswaraj

#IndiaFightsCorona #India #COVID19",Twitter for Android,,,,False,False,5,0,IN,"Salepur, Orissa",neighborhood,7,19,,2011-09-13T17:38:38Z,False,en
13238,1250587681098051584,765000246107570177,2020-04-16T00:51:52Z,Kshitijupadhya4,"#VISPL
#UPSDM
#COVID19 https://t.co/6d3JQq7BOC",Twitter for Android,,,,False,False,560,0,IN,"Uttar Pradesh, India",admin,20,85,,2016-08-15T01:40:46Z,False,und
13536,1250588049240555522,703538282303352832,2020-04-16T00:53:20Z,ImAyushtiwary,"The U.S. death toll from coronavirus surged past 27,000, as global case topped 2 million.
Plz🙏 #StayHome
#Covid_19 #StayAtHome 🙏 https://t.co/sEqA7J9fIH",Twitter for Android,,,,False,False,523,0,IN,"Siwan, India",city,109,65,,2016-02-27T11:12:52Z,False,en
15410,1250589950317219841,1518697417,2020-04-16T01:00:53Z,iAbhinayD,"#Hyderabad
The idea is to ensure that no #MigrantWorkers is left hungry and moreover this is not an individual’s battle, we have to fight it together by taking care of each other, says @SpWanaparthy Apoorva Rao.

#Covid_19

@THHyderabad https://t.co/7UocBjKVri",Twitter for Android,,,,False,False,8779,1,IN,"Hyderabad, India",city,1629,561,,2013-06-15T07:15:36Z,False,en
15520,1250590061273288704,2946644270,2020-04-16T01:01:20Z,satyapritam9911,Good morning everyone 😷#StayHomeStaySafe 🏡,Twitter for iPhone,,,,False,False,165,0,IN,"Cuttack, India",city,63,801,,2014-12-28T17:00:26Z,False,en
16105,1250590738875744257,853369221669150720,2020-04-16T01:04:01Z,LokeshS76348299,"तोड़ देंगे शरीर का कोना कोना।
मगर होने न देंगे तुमको #कोरोना
#UPPolice #Yogi_का_जलवा 
#StayHomeStaySafe",Twitter for iPhone,,,,False,False,854,0,IN,"Kota, India",city,45,392,,2017-04-15T22:07:32Z,False,hi
16334,1250590992094441472,2384575290,2020-04-16T01:05:02Z,mrealdinesh,"One more day less in the arrival of good time ✌️

#sunrise #sunrisephotography #panchkula #chandigarh #himalayas #himachalmountains #beautifulmorning #morning #lockdown2020 #lockdown #qurantinelife #covi̇d19… https://t.co/3eJEGV03Ub",Instagram,,,,False,False,1160,0,IN,"Panchkula, India",city,76,191,,2014-03-12T03:09:56Z,False,en
16752,1250591432777142272,193594359,2020-04-16T01:06:47Z,ronitacharya93,A Message From bhaijan @BeingSalmanKhan 🙏🏻🙏🏻 Aaj ke jo halat hai un par. Suno dekho or socho ki kya ye jo hum kar rahe hai yeh sahi hai ??? #StayHomeStaySafe @ayushmannk @sudhirchaudhary @akshaykumar https://t.co/m3nVPO9C4P,Twitter for iPhone,,,,False,False,201,0,IN,"Bikaner, India",city,269,99,,2010-09-22T06:16:19Z,False,hi
16991,1250591676571086848,2508772260,2020-04-16T01:07:45Z,rpbabu_,"In my view, Kerala is going to show the world how to defeat #COVID19 ! Remarkable! Reminds me Taiwan !!

Karnataka doing better ; next to Kerala
@shailajateacher @ShashiTharoor @RahulGandhi @CMOKerala",Twitter for Android,,,,False,False,551,1,IN,"Hospet, India",city,28,227,,2014-05-19T23:56:52Z,False,en
17390,1250592074560397312,943122660765995009,2020-04-16T01:09:20Z,DhawnKumar,#dowfutures #SGXNIFTY #Covid_19 worldwide corona cases crossed 2080000 deaths crossed 129600 huge jump from tomorrow Dow closed 450 down Dow future showing 160 points loss again SGX nifty 120 points down may go down further be careful sell on rise as thought earlier 😞,Twitter for iPhone,,,,False,False,63,0,IN,"Ghaziabad, India",city,34,80,,2017-12-19T14:15:39Z,False,en
17589,1250592261437415424,1061911046166728706,2020-04-16T01:10:04Z,SpruhaCounsel,"If it’s safe for public health, we’ll provide weekend SATs every month through the end of the year, beginning in Aug. This includes new test in Sept &amp; the previously scheduled tests on August 29, Oct 3, Nov 7, &amp; Dec 5. #SAT #coronavirus #covid19 #highered

https://t.co/VekcR2zEWI",Twitter for Android,,,,False,False,995,0,IN,"Bengaluru, India",city,42,574,,2018-11-12T09:18:17Z,False,en
18445,1250593179272835072,1190523586420674560,2020-04-16T01:13:43Z,avi_shinde21,"According to #Forbes, India is 15 th most risky country in this global pandemic. According to this report, Pakistan is much safer than India.
These are the consequences of hardwork of our prime minister.
#Covid_19 #COVID #covidindia @PMOIndia @forbes https://t.co/LMLH5QK7Mg",Twitter for Android,,,,False,False,2411,0,IN,"Maharashtra, India",admin,23,57,,2019-11-02T06:58:51Z,False,en
18930,1250593687085543424,61502443,2020-04-16T01:15:44Z,sscsoftweb,Study: bat coronaviruses not related to #COVID19: https://t.co/J9OA2JnxIf,Twitter for Android,,,,False,False,343,0,IN,"Egmore Nungambakkam, India",city,350,1237,,2009-07-30T14:34:33Z,False,en
19334,1250594120633954304,40322057,2020-04-16T01:17:27Z,MCABBAS,#COVID19 #TablighiJamaat #NizamuddinMarkaj #modijibakwaasbandkaro #COVID19india #PMModi #GoCoronaCoronaGo #ExposeFakeNews #lockdown https://t.co/T4SIW9IIiB,Twitter for iPhone,,,,True,False,2478,1,IN,"Bengaluru, India",city,7302,6644,,2009-05-15T20:12:25Z,True,und
19382,1250594177022226433,336980047,2020-04-16T01:17:41Z,shashank_singh2,"@ndtv And Karnataka is the one when you look at it, which has managed to improve its numbers being one of the most affected states in #Covid_19",Twitter for Android,1.2505929735925268e+18,37034483.0,ndtv,False,False,319,1,IN,"Noida, India",city,273,163,,2011-07-17T07:19:13Z,True,en
21714,1250596685757190145,1396601690,2020-04-16T01:27:39Z,OmPrakashBJP_,"22 दिन गुजार दिए, 18 दिन और गुजार लेंगे, बस हमारा देश सुरक्षित रहे, कृपया लॉकडाउन का पालन करें... 

#जयमहादेव
#StayHomeStaySafe #lockdown",Twitter for Android,,,,False,False,1867,0,IN,"Jehanabad, India",city,95,245,,2013-05-02T08:20:42Z,False,hi
21722,1250596697719201792,336980047,2020-04-16T01:27:42Z,shashank_singh2,"@ndtv From 356 to 51 to 17. The progress is definitely better. Out of those 356, 325 cases were related to #markaz. So one could understand the fact that on the whole steps from @ArvindKejriwal is starting to show its impact. Like @CMOKerala? Too soon I would say!
#COVID #Covid_19",Twitter for Android,1.250592212347306e+18,37034483.0,ndtv,False,False,319,0,IN,"Noida, India",city,273,163,,2011-07-17T07:19:13Z,True,en
22559,1250597578888151041,2902590781,2020-04-16T01:31:12Z,AzamHyder,"To every medic, doctor, nurse, public/health staff, Police, volunteer across the India...we appreciate you. 💙

“The best of people are those that bring most benefit to the rest of mankind.” - Prophet Muhammad 

#StayHome  #StayHomeSaveLives #Covid19 #Coronavirus",Twitter for iPhone,,,,False,False,168181,7,IN,"Mumbai, India",city,2764,192,,2014-11-17T09:04:53Z,False,en
22728,1250597769225465856,461897669,2020-04-16T01:31:57Z,VikasRaiAdv,"World's Top 5 New #COVID19 in the last 24 hours 

1.🇺🇸 +27,365
2.🇬🇧  +4,603
3.🇫🇷   +4,560
4.🇹🇷   +4,281
5.🇪🇸   +3,573

🔜6.🇷🇺 +3,388
#Covid_19",Twitter for iPhone,,,,False,False,20030,0,IN,"Lucknow, India",city,848,272,,2012-01-12T09:53:01Z,False,en
23422,1250598538746056704,167038338,2020-04-16T01:35:01Z,kirudhage,"इस #Coronavirus व #lockdown समय के चलते हररोज सुबह और शाम @BJP4Telangana के वरिष्ठ नेता श्री @Naguraonamaji जी अपनेसभी 40जान परिवार के साथ योगाभ्यास कार्रवारहे है,जिस से सभी को व्यायाम,मन प्रफुल्लित और मन शांति प्रदान हो.
@narendramodi
@JPNadda
@yogrishiramdev
@kishanreddybjp https://t.co/58eShNr73V",Twitter for Android,,,,False,False,21954,2,IN,"Narayanpet, India",city,421,496,,2010-07-15T16:14:24Z,False,hi
23495,1250598615694757888,765018317983735808,2020-04-16T01:35:19Z,rupam4mIndia,Tech by 2 US Indians can detect Covid-19 virus in 20 seconds | Hyderabad News - Times of India https://t.co/g1U3v5KD3z #Innovations #CoronavirusOutbreak,Twitter for Android,,,,False,False,14447,0,IN,"Hojai, India",city,828,3373,,2016-08-15T02:52:35Z,False,en
23641,1250598764936679429,1250399335579254785,2020-04-16T01:35:55Z,Vachas17,#sunrise #yogalife #YogaDuringLockDown #yogateacher #nature #morningvibes #Covid_19 #pinksky https://t.co/8XKHCgftNV,Twitter for iPhone,,,,False,False,0,0,IN,"Madhya Pradesh, India",admin,0,21,,2020-04-15T12:23:35Z,False,und
24122,1250599307998187520,2432881500,2020-04-16T01:38:04Z,jai_shrivastva,"We are esteemed Training Partner (Eupraxis Expert Systems Consulting Pvt. Ltd.) empanelled with UP Skill Development Mission (UPSDM) 
@CMOfficeUP
@UPSDMOfficial #StayhomeStaysafe #Indiafightscorona #Waragainstcorona https://t.co/s9IPgNEn77",Twitter for Android,,,,False,False,68,0,IN,"Ghaziabad, India",city,8,156,,2014-04-08T02:07:58Z,False,en
24349,1250599557420859392,2432881500,2020-04-16T01:39:04Z,jai_shrivastva,"We are esteemed Training Partner (G K Foundation) empanelled with UP Skill Development Mission (UPSDM) 
@CMOfficeUP
@UPSDMOfficial #StayhomeStaysafe #Indiafightscorona #Waragainstcorona https://t.co/3JUjvepCj8",Twitter for Android,,,,False,False,68,0,IN,"Ghaziabad, India",city,8,156,,2014-04-08T02:07:58Z,False,en
24380,1250599601385754624,341330799,2020-04-16T01:39:14Z,jyotishiralee,A lot of people may hate to acknowledge this but Kerala is a true success story today. #Covid_19 https://t.co/vJIZCfpRKg,Twitter for iPhone,,,,True,False,5162,0,IN,"Mumbai, India",city,316,557,,2011-07-24T05:54:18Z,False,en
24471,1250599703571505153,844059143338151936,2020-04-16T01:39:39Z,whereisankit,"For any information of Covid-19, IGMC helpline 01772658936
#Covid19 #HimachalPradesh",Twitter for Android,,,,False,False,24206,6,IN,"Himachal Pradesh, India",admin,1415,387,,2017-03-21T05:32:36Z,False,en
24478,1250599717295144960,4777321154,2020-04-16T01:39:42Z,ravi1999dwivedi,"3rd. Sem. Ka result to nhi pta , pass hua ki nhi main....

Lekin WB GOV. ne 4th Sem. Pass kra diya🤣🤣
🙏🙏🙏

#Covid_19 https://t.co/gxEiiASayb",Twitter for Android,,,,False,False,7409,0,IN,"Deoria, India",city,152,45,,2016-01-18T07:27:28Z,False,in
24502,1250599752716046336,2622416156,2020-04-16T01:39:50Z,Interiorvastu,"*Modular kitchen Tip No.12(A)

 *Safety First*

Safety, the most important things to consider. From proper, safe gas piping with no possibility of leaks to curved countertops edges, Make sure that even the flooring you choose is slip-resistant. 
#StaySafeStayHome
#COVID19 https://t.co/13goOeGVne",Twitter for Android,,,,False,False,11,0,IN,"Lucknow, India",city,62,23,,2014-07-12T10:09:16Z,False,en
24504,1250599751998791680,875638759022223364,2020-04-16T01:39:50Z,MAILAREPPA_S_M,"ಮನೆಯಲ್ಲೇ ಇರಿ!
ಹೊರಬರಬೇಡಿ!!
ಇಷ್ಟ್ ಹೇಳೋದಕ್ಕೆ ಮಾತ್ರ ಒಬ್ಬ ಪ್ರದಾನಿಯನ್ನ ಇಟ್ಟಿರುವ ಪ್ರಪಂಚದ ಏಕೈಕ ದೇಶ ನನ್ನದು..!
#CoronavirusLockdown #CoronavirusOutbreak #Lockdown2 #COVID19india #CoronavirusPandemic #COVID19",Twitter for Android,,,,False,False,17619,2,IN,"Karnataka, India",admin,493,212,,2017-06-16T08:58:43Z,False,kn
24772,1250600006215557120,824898189043970048,2020-04-16T01:40:51Z,AishwryaBachan,"#StayHomeStaySafe 
@AishwryaBachan 
@vimibishnoi https://t.co/ibAwgVH2PN",Twitter for Android,,,,False,False,20,0,IN,"Rajasthan, India",admin,6743,26,,2017-01-27T08:33:48Z,False,und
25150,1250600469799546887,3017143111,2020-04-16T01:42:41Z,krishnagopalya5,"#Covid19 महामारी के इस संकट से उबारने के लिए राष्ट्रीय अध्यक्ष श्री अखिलेश यादव जी प्रदेश सरकार को लगातार अहम सुझाव दे रहे हैं। @ Lucknow, Uttar Pradesh https://t.co/6jlQMLOoFd",Instagram,,,,False,False,29733,0,IN,"Lucknow, India",city,3026,2216,,2015-02-12T07:45:38Z,False,hi
25262,1250600608018530306,713824004,2020-04-16T01:43:14Z,RcAnalyst,Post #Covid_19 more likely #frugal https://t.co/7SUhSpsuce,Twitter for Android,,,,True,False,516,0,IN,"Gurgaon, India",city,68,85,,2012-07-24T06:45:45Z,False,en
25296,1250600640436334592,700506234571460608,2020-04-16T01:43:22Z,prince89000,#prince89000 #Covid_19 #MumbaiConspiracyTape #jahiljamati #MaharashtraWithCM #iphonese2020 #StayAtHome #TrendingNow #COVIDー19 #handsomeboy https://t.co/v1O8JKRmk8,Twitter for Android,,,,False,False,19,0,IN,"Khanna, India",city,10,54,,2016-02-19T02:24:35Z,False,und
25481,1250600887996669952,85748506,2020-04-16T01:44:21Z,iSKBhati,"पहले गर्मियों में छुट्टियाँ आती थीं, इस बार छुट्टियों में गर्मी आई है।
#Covid19India #CoronavirusLockdown #Covid_19",Twitter for iPhone,,,,False,False,1139,0,IN,"Ghaziabad, India",city,549,152,,2009-10-28T05:09:58Z,False,hi
25767,1250601226929991680,806590626,2020-04-16T01:45:42Z,rjagadishy,@ABPNews We Indians  are not adverse in  providing  the #hydroxychloriquine to #Pakistan to be used for #COVID19 infected common citizens... But definitely  we wouldn't  like it to be used by the #Pakistan terrorists... Which is a more dangerous virus for us than #Covid_19 @ImranKhanPTI,Twitter for Android,1.2503531470604247e+18,39240673.0,ABPNews,False,False,6428,0,IN,"Port Blair, India",city,150,226,,2012-09-06T11:17:13Z,False,en
25957,1250601438163595264,336980047,2020-04-16T01:46:32Z,shashank_singh2,"@JHU_Alumni @JohnsHopkins @UnderArmour We underestimated the importance of masks in this fight against #Covid_19 but those who didn't are in a much better place right now. They only focused on the basics of hygiene first and from the looks of it, I feel it would become a norm at public places.",Twitter for Android,1.250488823362052e+18,1433628511.0,JHU_Alumni,False,False,319,1,IN,"Noida, India",city,273,163,,2011-07-17T07:19:13Z,True,en
26267,1250601840032411653,1655640679,2020-04-16T01:48:08Z,ashishBJPamethi,"एक निवेदन आप सभी से #घरमेंरहेंस्वस्थरहें ।
🙏🏻🇮🇳
#MumbaiConspiracyTape #jahiljamati #Muradabad #Covid_19 #COVID #StayAtHome #COVIDー19 #michiganshutdown #COVID19",Twitter for Android,,,,False,False,2869,0,IN,"Uttar Pradesh, India",admin,117,556,,2013-08-08T15:27:57Z,False,hi
26761,1250602456981143555,4887922023,2020-04-16T01:50:35Z,kumaranjani111,"@bankofbaroda के सुल्तानपुर के Dhammour शाखा के प्रबंधक द्वारा सोशल डिस्टेंसिंग के संदर्भ में मीडिया द्वारा सवाल पूछने पर बैंक से बाहर रास्ता दिखाना क्या उचित ?
#Covid_19 @Uppolice @UPGovt 
#coronaकर्मवीर https://t.co/IZ2g0K7ZDX",Twitter for Android,,4650859756.0,bankofbaroda,False,False,5404,0,IN,"Dubepur, Sultanpur",neighborhood,206,296,,2016-02-08T12:05:11Z,False,hi
26773,1250602475725262848,1159794703748849665,2020-04-16T01:50:39Z,JasoosShow,"@casagrandhomes Hum honge kamiyab 🙏🙏
 #StayHomeStaySafe #StayHealthy
@casagrandhomes",Twitter for Android,1.250457431840133e+18,1951304473.0,casagrandhomes,False,False,17627,0,IN,"West Bengal, India",admin,54,295,,2019-08-09T11:53:00Z,False,tl
26796,1250602494662545408,9404762,2020-04-16T01:50:44Z,nikhilnarayanan,"A third of @NHS staff and key workers who have been tested for #Covid19 in the UK have returned positive results. 

https://t.co/CEsjU2s1Sz",Twitter for Android,,,,False,False,3712,2,IN,"Bengaluru South, India",city,13603,2194,,2007-10-12T15:35:42Z,False,en
27080,1250602837429456896,175343260,2020-04-16T01:52:06Z,freakdon,#BreakTheChain  #Covid19India #COVID19 #Kerala,Twitter for iPhone,,,,False,False,61,0,IN,"Parur, India",city,90,40,,2010-08-06T10:09:01Z,False,und
27515,1250603388124839937,1035316710046294016,2020-04-16T01:54:17Z,ASHISH83269810,"@narendramodi_in @narendramodi The 7 steps ""PROTECT""
P-Preserve Jobs
R -Respect health care workers
O -Observe lockdown
T -Take care of elderly
E -Extend help to poor people 
C -Connect with #AarogyaSetu 
T -Traditional based Ayush for building immunity
Thank you Sir for leading the fight against #coronavirus",Twitter for Android,1.2504529566477885e+18,296612629.0,narendramodi_in,False,False,61,0,IN,"Sanganer, India",city,18,72,,2018-08-31T00:01:53Z,False,en
27694,1250603610804633605,333079184,2020-04-16T01:55:10Z,itshanishlamba,Salman Sir 🙏🏻 @BeingSalmanKhan #CoronavirusLockdown #StayHomeStaySafe #Covid19India https://t.co/jHyclvgWGP,Twitter for iPhone,,,,False,False,15,0,IN,"Mumbai, India",city,79,200,,2011-07-10T23:17:54Z,False,tr
27708,1250603627204407296,333079184,2020-04-16T01:55:14Z,itshanishlamba,"“This says everything”
#StayHomeStaySafe #Covid19India #CoronavirusLockdown #AarogyaSetu https://t.co/x83TUO7r7p",Twitter for iPhone,,,,False,False,15,0,IN,"Mumbai, India",city,79,200,,2011-07-10T23:17:54Z,False,en
28284,1250604371265458182,1074982358107938817,2020-04-16T01:58:11Z,SagarSinghTom16,"कोरोना से मत डरो ना l
 आरोग्य ऐप डाउनलोड करो ना ll 

 अफवाहों से मत डरो ना l
 अपने और अपने परिवार को सुरक्षित करो ना ll

 रोज अपडेट चेक करो ना 😍

 #घरमेंरहेंस्वस्थरहें #Covid_19 #COVIDー19 #iPhoneSE2 #MaharashtraWithCM #Bitcoin #Muradabad #StayAtHome #stimuluspayment #BASAULI https://t.co/qiR0P9v2X1",Twitter for Android,,,,False,False,3923,1,IN,"Uttar Pradesh, India",admin,65,989,,2018-12-18T10:59:01Z,False,hi
29450,1250605537042903040,1214056061801381888,2020-04-16T02:02:49Z,Ramkish67360741,"घर पर ही रहें, मास्क जरूर लगाएं।

सरकारी निर्देशों का सख्ती से पालन करें #StayHomeStaySafe #IndiaFightsCorona https://t.co/dXOckEFj3T https://t.co/V9KdvpKtEo",Twitter for Android,,,,False,False,123,0,IN,"Rajasthan, India",admin,2,16,,2020-01-06T05:28:36Z,False,hi
29592,1250605725857927168,3346327444,2020-04-16T02:03:34Z,Ravi_P_ku,"https://t.co/mZKjtOhzqK
ಪೊಲೀಸರೇ ಇತ್ತ ನೋಡಿ...? ಕಾರ್ಮಿಕರ ಗೋಳು ಕೇಳೋರು ಯಾರು ಇಲ್ವಾ..!
#Covid19
#BengaluruLockdown
#LockDown
#BloomtvNews",Twitter for Android,,,,False,False,636,1,IN,"Anekal Bangaluru, India",city,60,96,,2015-06-26T05:13:56Z,False,kn
30055,1250606251228233728,913952866041085953,2020-04-16T02:05:40Z,Gayasuddinzf,#photography #nature #StayHomeStaySafe https://t.co/8vOv9nghTT,Twitter for Android,,,,False,False,452,0,IN,"Sakri, India",city,30,101,,2017-09-30T02:25:18Z,False,und
30328,1250606613368463361,146353849,2020-04-16T02:07:06Z,YSDIndia,"We thank the youth volunteers to identify most deserving people in slums who need food during the difficult times and aware people for preventive measures in #Covid19. We could reach out them with your help @SRC_Odisha
@Ganjam_Admin @CMO_Odisha @the_hindu https://t.co/1RjYLUbhz3",Twitter for Android,,,,False,False,334,0,IN,"Brahmapur, India",city,1766,85,,2010-05-21T06:35:54Z,False,en
30419,1250606719106904070,407549534,2020-04-16T02:07:31Z,sanjayvaoffice,"#पाकिस्तान ने भारत से मदद मांगी है, अब क्या भारत को मदद करनी चाहिए? 
लेकिन याद रहे पाकिस्तान धोखेबाज भी है।
#COVID19 @narendramodi @ImranKhanPTI 
#Pakistan",Twitter for Android,,,,False,False,14797,2,IN,"New Delhi, India",city,2101,2903,,2011-11-08T06:50:08Z,False,hi
30460,1250606774366818304,766451868134506496,2020-04-16T02:07:44Z,SashankGuw,"@DGPAssamPolice of @assampolice  Shri @BjmahantaIps speaks to @republic on the more strict measures to be followed across the state in the wake of the outbreak of #Covid_19.
@gpsinghassam @ponjitdowarah @GuwahatiPol @airnews_ghy @VoiceOfAxom @SouleFacts https://t.co/OMUAERu0Cs",Twitter for Android,,1.2185963529652634e+18,DGPAssamPolice,False,False,3542,1,IN,"Guwahati, India",city,289,1940,,2016-08-19T01:49:00Z,False,en
30683,1250607051224449024,173062332,2020-04-16T02:08:50Z,realpratiksinha,"Featuring in a chat with two ace India bowlers was an awesome experience and getting my name mentioned by @yuzi_chahal bhai was completely unreal stuff.
Waiting to see them in action. 🤘🇮🇳
Meanwhile ..
#StayHomeStaySafe &amp; #SaveLives ✌️ https://t.co/W0JmwwBT40",Twitter for Android,1.2506070379578122e+18,173062332.0,realpratiksinha,False,False,79,0,IN,"Greater Noida, India",city,64,173,,2010-07-31T09:23:44Z,False,en
30760,1250607151489224704,101720897,2020-04-16T02:09:14Z,jitendraslsharm,"BREAKING: Global #COVID19 cases have reached 2 million.

▪️ 1/3 of all cases are in the U.S.
▪️ Total global deaths now over 128,000 @ZeeNews https://t.co/5yFw1bQeMh",Twitter for Android,,,,False,False,31,0,IN,"New Delhi, India",city,26,75,,2010-01-04T10:20:50Z,False,en
31140,1250607532646653953,838335276,2020-04-16T02:10:45Z,hiteshpatel308,"@rose_k01 @BeingSalmanKhan I hope these people will understand the things soon and will coperate with the Government when someone from their relatives will start dying due to #covid19.

I pray these people understand before this happen...",Twitter for Android,1.2505140707734446e+18,205694126.0,rose_k01,False,False,3508,0,IN,"Rajkot, India",city,163,617,,2012-09-21T18:28:34Z,False,en
31413,1250607849413230594,509617436,2020-04-16T02:12:01Z,sahilrao28,"गौर करोगे तो फर्क दिखेगा...
पत्थर होते होंगे तुम्हारे हाथों में, हमारे हाथों में तो पुष्प ही मिलेगा 
#Covid_19 #jahiljamati #Hindus #politics #Police #fighter #HaryanaPolice #ahirwal 
@KapilMishra_IND https://t.co/S6d8aWA5Ay",Twitter for iPhone,,,,False,False,801,3,IN,"Narnaul, India",city,71,396,,2012-03-01T02:34:02Z,False,hi
31429,1250607863493300224,716096097358209024,2020-04-16T02:12:04Z,deepak_mragwani,"@JayaAsnani8 Sant Shri Asharamji Bapu established Yuwa seva Sangh,Mahila Utthan Mandal .These organizations provide food or basic essentials to poor peoples at this critical time of #CoronavirusPandemic.
#लॉकडाउन_में_सेवापरायण_आशारामजी_आश्रम https://t.co/UFKqX10Z8W",Twitter for Android,1.250607407396524e+18,8.354033090831319e+17,JayaAsnani8,False,False,219230,2,IN,"Rajasthan, India",admin,10004,5656,,2016-04-02T02:53:08Z,False,en
